"GEO_ID","NAME","Median household income","Margin of Error",
"0600000US0606590253","Blythe CCD, Riverside County, California","48510","7969",
"0600000US0606590410","Cathedral City-Palm Desert CCD, Riverside County, California","68362","2155",
"0600000US0606590492","Chuckwalla Valley CCD, Riverside County, California","43342","4495",
"0600000US0606590520","Coachella Valley CCD, Riverside County, California","53829","2149",
"0600000US0606590590","Corona CCD, Riverside County, California","93511","3618",
"0600000US0606590670","Desert Hot Springs CCD, Riverside County, California","41759","3358",
"0600000US0606590880","Elsinore Valley CCD, Riverside County, California","87982","3330",
"0600000US0606591280","Hemet-San Jacinto CCD, Riverside County, California","52420","2298",
"0600000US0606591370","Idyllwild CCD, Riverside County, California","52905","12711",
"0600000US0606591450","Jurupa CCD, Riverside County, California","100476","4269",
"0600000US0606591530","Lake Mathews CCD, Riverside County, California","98910","6940",
"0600000US0606592060","Murrieta CCD, Riverside County, California","104662","2449",
"0600000US0606592130","Norco CCD, Riverside County, California","114440","6552",
"0600000US0606592340","Palm Springs CCD, Riverside County, California","60166","3217",
"0600000US0606592450","Perris Valley CCD, Riverside County, California","77803","2574",
"0600000US0606592640","Riverside CCD, Riverside County, California","74656","1635",
"0600000US0606592810","San Gorgonio Pass CCD, Riverside County, California","71258","3589",
"0600000US0607190188","Barstow CCD, San Bernardino County, California","53217","3593",
"0600000US0607190220","Big Bear CCD, San Bernardino County, California","63893","5641",
"0600000US0607191513","Lake Arrowhead CCD, San Bernardino County, California","75620","6322",
"0600000US0607192040","Mount Baldy-Wrightwood CCD, San Bernardino County, California","54724","22217",
"0600000US0607192080","Needles CCD, San Bernardino County, California","36889","5658",
"0600000US0607192102","Newberry Springs-Baker CCD, San Bernardino County, California","56048","8365",
"0600000US0607192260","Ontario CCD, San Bernardino County, California","87615","1726",
"0600000US0607192770","San Bernardino CCD, San Bernardino County, California","68007","1129",
"0600000US0607192955","Searles Valley CCD, San Bernardino County, California","45341","17774",
"0600000US0607193482","Twentynine Palms-Yucca Valley CCD, San Bernardino County, California","46468","2369",
"0600000US0607193555","Victorville-Hesperia CCD, San Bernardino County, California","61509","2185",
"0600000US0607193850","Yucaipa CCD, San Bernardino County, California","75471","5557",
