,GEO_ID,NAME,Median household income,Margin of Error
0,0600000US0606590253,"Blythe CCD, Riverside County, California",48510,7969
1,0600000US0606590410,"Cathedral City-Palm Desert CCD, Riverside County, California",68362,2155
2,0600000US0606590492,"Chuckwalla Valley CCD, Riverside County, California",43342,4495
3,0600000US0606590520,"Coachella Valley CCD, Riverside County, California",53829,2149
4,0600000US0606590590,"Corona CCD, Riverside County, California",93511,3618
5,0600000US0606590670,"Desert Hot Springs CCD, Riverside County, California",41759,3358
6,0600000US0606590880,"Elsinore Valley CCD, Riverside County, California",87982,3330
7,0600000US0606591280,"Hemet-San Jacinto CCD, Riverside County, California",52420,2298
8,0600000US0606591370,"Idyllwild CCD, Riverside County, California",52905,12711
9,0600000US0606591450,"Jurupa CCD, Riverside County, California",100476,4269
10,0600000US0606591530,"Lake Mathews CCD, Riverside County, California",98910,6940
11,0600000US0606592060,"Murrieta CCD, Riverside County, California",104662,2449
12,0600000US0606592130,"Norco CCD, Riverside County, California",114440,6552
13,0600000US0606592340,"Palm Springs CCD, Riverside County, California",60166,3217
14,0600000US0606592450,"Perris Valley CCD, Riverside County, California",77803,2574
15,0600000US0606592640,"Riverside CCD, Riverside County, California",74656,1635
16,0600000US0606592810,"San Gorgonio Pass CCD, Riverside County, California",71258,3589
17,0600000US0607190188,"Barstow CCD, San Bernardino County, California",53217,3593
18,0600000US0607190220,"Big Bear CCD, San Bernardino County, California",63893,5641
19,0600000US0607191513,"Lake Arrowhead CCD, San Bernardino County, California",75620,6322
20,0600000US0607192040,"Mount Baldy-Wrightwood CCD, San Bernardino County, California",54724,22217
21,0600000US0607192080,"Needles CCD, San Bernardino County, California",36889,5658
22,0600000US0607192102,"Newberry Springs-Baker CCD, San Bernardino County, California",56048,8365
23,0600000US0607192260,"Ontario CCD, San Bernardino County, California",87615,1726
24,0600000US0607192770,"San Bernardino CCD, San Bernardino County, California",68007,1129
25,0600000US0607192955,"Searles Valley CCD, San Bernardino County, California",45341,17774
26,0600000US0607193482,"Twentynine Palms-Yucca Valley CCD, San Bernardino County, California",46468,2369
27,0600000US0607193555,"Victorville-Hesperia CCD, San Bernardino County, California",61509,2185
28,0600000US0607193850,"Yucaipa CCD, San Bernardino County, California",75471,5557
